Carrera/Titulación,Carrera Gestional,Especialidad,Vacante,Avance,Semestres Totales,Evaluados Si/No,Altamente Recomendado,Operaciones-Calidad,MTTO-DIMA,Comercial-Planeamiento,DIGI-SC,Resto-Soft,Actividad Grupal.1,Ingles,Destacado,Ingresados Si/No,Apto,Apto suma
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,7,10.0,1,1,2,1,2,0,0,5,2,1,1,2,13
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,6,9.0,1,1,2,0,0,0,0,5,2,1,0,2,10
Ing. Industrial,Ing. Industrial,Ingenierías Target,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,6,9.0,1,1,2,2,0,1,2,5,2,1,1,2,13
Comercio Exterior,Negocios Internacionales,Negocios,Practicante,7,10.0,1,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Química,Ing. Química,Ingenierías Target,Practicante,6,9.0,1,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,9,10.0,1,1,2,0,1,2,1,0,1,0,0,2,7
Ing. Mecánica,Ing. Mecánica,Ingenierías Target,Profesional,8,9.0,1,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Industrial,Ing. Industrial,Ingenierías Target,Practicante,6,9.0,1,0,0,1,0,0,0,4,2,0,1,1,7
Ing. Materiales,Ing. Materiales,Ingenierías Target,Practicante,8,10.0,1,0,0,0,0,0,0,0,1,0,0,0,1
Maestría en Materiales,Maestría en Materiales,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Relaciones Internacionales,Negocios Internacionales,Negocios,Profesional,9,10.0,1,0,0,0,0,0,0,0,1,0,0,0,1
Maestría en Diseño Automotriz,Maestría en Diseño Automotriz,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Maestría en Diseño Automotriz,Maestría en Diseño Automotriz,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Maestría en Diseño Automotriz,Maestría en Diseño Automotriz,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ingeniería en Nanotecnología,Ing. Química,Ingenierías Target,Practicante,6,10.0,1,1,1,1,0,2,0,2,2,0,1,2,9
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Practicante,8,10.0,1,0,0,0,0,0,0,0,1,0,0,0,1
Maestría en Metalurgia,Maestría en Metalurgia,Ingenierías Target,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ingeniero industrial  de sistemas,Ing. Industrial,Ingenierías Target,Profesional,10,9.0,1,1,2,2,0,0,0,0,1,0,0,2,6
Ingeniero industrial  de sistemas,Ing. Industrial,Ingenierías Target,Profesional,10,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ingeniero industrial  de sistemas,Ing. Industrial,Ingenierías Target,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ingeniero industrial  de sistemas,Ing. Industrial,Ingenierías Target,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ingeniero en Gestión Empresarial,Ing. Gestión Empresarial,Otras Ingenierías,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ingeniero en Gestión Empresarial,Ing. Gestión Empresarial,Otras Ingenierías,Profesional,8,9.0,1,1,2,0,2,2,2,3,2,0,0,2,12
Ingeniero en Gestión Empresarial,Ing. Gestión Empresarial,Otras Ingenierías,Profesional,8,9.0,1,1,1,2,0,1,2,4,2,1,1,2,11
Ingeniero en Gestión Empresarial,Ing. Gestión Empresarial,Otras Ingenierías,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ingeniería en Tecnologías Computacionales ,Ing. Tecnologías Computacionales,Tecnologías de Información,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ingeniería en Tecnologías Computacionales ,Ing. Tecnologías Computacionales,Tecnologías de Información,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ingeniero en Tecnologías Computacionales,Ing. Tecnologías Computacionales,Tecnologías de Información,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ingeniero en Tecnologías Computacionales,Ing. Tecnologías Computacionales,Tecnologías de Información,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ingeniero en Tecnologías Computacionales,Ing. Tecnologías Computacionales,Tecnologías de Información,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Master en Business Management,Master en Business Management,Negocios,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Master en Business Management,Master en Business Management,Negocios,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Master en Business Management,Master en Business Management,Negocios,Practicante,7,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Tecnologías Computacionales,Tecnologías Computacionales,Tecnologías de Información,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Tecnologías Computacionales,Tecnologías Computacionales,Tecnologías de Información,Profesional,9,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Tecnologías Computacionales,Tecnologías Computacionales,Tecnologías de Información,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Tecnologías Computacionales,Tecnologías Computacionales,Tecnologías de Información,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Tecnologías Computacionales,Tecnologías Computacionales,Tecnologías de Información,Profesional,10,10.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,8,9.0,1,0,0,1,0,0,2,0,1,0,0,1,2
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,10,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,9,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
Ing. Mecatrónica,Ing. Mecatrónica/Electrónica,Ingenierías Target,Profesional,8,9.0,0,0,0,0,0,0,0,0,1,0,0,0,1
